RRsep[mm],ne[m-3]
73.295352687571,1.89481010350103e+17
68.0353619954324,4.2365143716494e+17
63.2154920003152,8.70713882066918e+17
58.4254243275857,1.6857956368643e+18
53.745267619822,2.97087810927633e+18
48.2454278371072,5.12360257945013e+18
43.8954808613992,6.96901706809774e+18
39.3452622792458,8.52380600446369e+18
34.3053319356179,9.71829366654931e+18
29.5653321644997,1.04185277622054e+19
25.0654199025369,1.07748444063467e+19
20.5652692219949,1.10417685561265e+19
16.3054444691872,1.1520963211302e+19
11.6953828236794,1.23091944111128e+19
7.0054509541726,1.30168991385238e+19
2.89535306904076,1.44003062079079e+19
-1.56450487163307,1.91046639041754e+19
-6.024601230886,2.83671106051604e+19
-10.2446100809837,3.69089754284033e+19
-14.644624958303,4.05469612171606e+19
-18.7845251658225,4.20630584492963e+19
-22.7346441843772,4.38966638532081e+19
-27.0545504191184,4.58242792605134e+19
-31.3746950724387,4.72555698413847e+19
-35.1645968058372,4.81428906783581e+19
-39.7646448710227,4.88702545637226e+19
-43.3745405771995,4.92940591216256e+19
-47.5146792032981,4.97714213307223e+19
-51.4845869639182,5.03851001118213e+19
-55.4246924021506,5.12511159318855e+19
-59.634687671926,5.24363745132699e+19
-63.6947176554465,5.38120861007712e+19
-67.5647280314231,5.53120653720529e+19
-71.56467653301,5.70269463900068e+19
-75.7045767405295,5.89296459842174e+19
