RRsep[mm],Ti[eV],err_Ti[eV]
-78.7925924232571,NaN,NaN
-69.7956787378149,239.241931915283,45.8187783587825
-52.592929412171,184.380920410156,88.386648918614
-38.8949435204928,199.909107208252,62.33913381846
-24.7441814268794,153.972576141357,9.38971751081151
-15.1372687167064,NaN,NaN
0.286960790653268,136.69909286499,40.9726671566916
10.2094122118754,NaN,NaN
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
