RRsep[mm],ne[m-3]
81.1879829622333,2.00177985010108e+17
75.9279922700946,2.17239782884352e+17
71.1081222749774,2.32348876536258e+17
66.3180546022479,2.44383306998262e+17
61.6378978944843,2.51442624051806e+17
56.1380581117694,2.72934669238628e+17
51.7881111360614,3.36024610239976e+17
47.2378925539081,4.63703156042535e+17
42.1979622102802,6.15917203603013e+17
37.457962439162,7.33211449469136e+17
32.9580501771991,9.06026771521346e+17
28.4578994966571,1.18648829874986e+18
24.1980747438495,1.47327375627723e+18
19.5880130983417,1.70304409234015e+18
14.8980812288348,1.80964137160444e+18
10.787983343703,1.96442432091356e+18
6.32812540302918,2.67532743373318e+18
1.86802904377625,4.40964881958877e+18
-2.3519798063214,6.67895155271816e+18
-6.75199468364074,8.77024146843353e+18
-10.8918948911603,1.00583062771278e+19
-14.842013909715,1.06405364745437e+19
-19.1619201444562,1.10250064555481e+19
-23.4820647977765,1.14549544103218e+19
-27.2719665311749,1.19111007493414e+19
-31.8720145963605,1.26191010516568e+19
-35.4819103025372,1.33488747863957e+19
-39.6220489286359,1.44314316699935e+19
-43.591956689256,1.57886986410284e+19
-47.5320621274884,1.75144197729172e+19
-51.7420573972638,1.98156289820016e+19
-55.8020873807843,2.25599225675773e+19
-59.6720977567609,2.57328550804313e+19
-63.6720462583478,2.96670478461675e+19
-67.8119464658673,3.44986160586158e+19
