RRsep[mm],Ti[eV],err_Ti[eV]
-107.181387304613,409.86279296875,67.8603303820275
-91.4981876031291,329.321571350098,34.4763638542756
-75.8515679350746,329.489768981934,21.0325819183039
-60.0030511684415,268.367366790771,21.662645521556
-44.3811350244361,265.781066894531,11.3008277060902
-29.9876058269466,245.965526580811,34.0072281746907
-15.0494976626234,176.825416564941,14.0243148866632
-0.505043010341488,124.680345535278,10.8785743713618
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
