RRsep[mm],Ti[eV],err_Ti[eV]
-111.449935179781,510.663391113281,57.6957160579297
-95.4524428083259,371.94962310791,79.8060473123646
-79.3617475323214,375.589080810547,16.0039199077795
-62.9993663389423,308.542533874512,31.7397853947698
-46.8400772044837,292.054626464844,16.1644759762809
-31.8385798721184,253.608116149902,7.66300207038526
-16.3531303171474,195.227523803711,10.488390797021
-1.24835331123618,131.875764846802,24.108669022309
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,0,0
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
